企业名称,登记状态,注册资本,所属区县,所属行业,江苏省企业地址,,经度,纬度,需求量,,
江苏赛惠斯电器科技有限公司,存续,2000,金坛区,电气机械和器材制造业,江苏省常州市金坛区龙湖路17号,,119.657387,31.752013,2.89E-06,,
江苏喆瑞照明科技有限公司,存续,1380,金坛区,电气机械和器材制造业,江苏省常州市金坛区龙湖路15号,,119.657387,31.752013,1.99E-06,,
常州市金坛利云汽车电机有限公司,存续,3000,金坛区,汽车制造业,江苏省常州市金坛区龙湖路1号,,119.657387,31.752013,4.33E-06,,
江苏华苏工业炉制造有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区双龙路5号,,119.6606,31.751783,1.44E-06,,
江苏安利新型建材有限公司,存续,1000,金坛区,非金属矿物制品业,江苏省常州市金坛区河山环路35号,,119.654347,31.752486,1.44E-06,,
常州金坛塑料厂,存续,3600,金坛区,橡胶和塑料制品业,江苏省常州市金坛经济开发区复兴路96号,,119.639474,31.748164,5.20E-06,,
江苏常凯玻璃有限公司,存续,1000,金坛区,非金属矿物制品业,江苏省常州市金坛区河山环路36号,,119.654294,31.752664,1.44E-06,,
江苏大中传动设备有限公司,存续,1080,金坛区,通用设备制造业,江苏省常州市金坛区河山环路32号,,119.65472,31.75259,1.56E-06,,
司达磁电科技（常州）有限公司,存续,43065,金坛区,电气机械和器材制造业,江苏省常州市金坛区河山环路38号,,119.652799,31.754309,6.22E-05,,
江苏万泉金属制品有限公司,存续,1000,金坛区,金属制品业,江苏省常州市金坛区龙湖路10号,,119.656758,31.752896,1.44E-06,,
常州吉和智能家具有限公司,存续,1914,金坛区,家具制造业,江苏省常州市金坛区河山环路18号,,119.660604,31.753089,2.76E-06,,
常州市宝瑞汽车附件有限公司,存续,1000,金坛区,汽车制造业,江苏省常州市金坛区河山环路22号,,119.659104,31.753236,1.44E-06,,
常州市科慧汽车电器有限公司,存续,1080,金坛区,汽车制造业,江苏省常州市金坛区龙湖路10号,,119.656758,31.752896,1.56E-06,,
